"ENG18440_Disraeli" "ENG18450_Disraeli" "ENG18471_Bronte" "ENG18481_Dickens" "ENG18530_Dickens" "ENG18570_Bronte" "ENG18650_Trollope" "ENG18742_Trollope" "ENG18952_Wells" "ENG19090_Wells" "ENG19120_Wells"
"its" 0.179736012731301 0.165643634908927 0.131415944018482 0.122052720071947 0.0954956944137779 0.152332239951076 0.0452961780574145 0.0215491440201125 0.209624498724025 0.140171384806578 0.13606969939165
"sir" 0.111710924579524 0.094385618382068 0.0351558576355175 0.159199200093844 0.285935085007728 0.0100072274420415 0.0425039479031903 0.0167604453489764 0.00607607242678333 0.0180633227843528 0.063411122046594
"house" 0.126688925640466 0.118763360878099 0.12053436903606 0.124566391652376 0.119783616692427 0.103408016901095 0.129683578273967 0.122111816113971 0.0303803621339166 0.0910391468331383 0.0772823049942864
"must" 0.137298343058633 0.166268705229338 0.156527270900994 0.070662101094285 0.10156767498344 0.0934007894590538 0.159467366585692 0.102957021429427 0.148863774456192 0.0903166139217641 0.0786033700369238
"own" 0.0736418385496302 0.0700078758860372 0.0970971306123816 0.156685528513415 0.0866637226760874 0.110079501862456 0.16256984453483 0.263378426912487 0.103293231255317 0.0549125012644326 0.0700164472597808
"other" 0.0780104221924049 0.0937605480616569 0.0962600863829645 0.116466783226549 0.109847648487525 0.0911769611386001 0.141472994480692 0.119717466778403 0.106331267468708 0.105489805060621 0.113611593666814
"too" 0.119824008487534 0.0831343526146691 0.113838015200723 0.108925768485262 0.115643629940384 0.124534385945405 0.0878001259606047 0.117323117442835 0.136711629602625 0.131500989870089 0.114272126188133
"thought" 0.0848753393453365 0.0825092822942581 0.0996082633006328 0.0896542863686383 0.0954956944137779 0.164563295713571 0.134647542992588 0.119717466778403 0.173168064163325 0.110547535440239 0.142014492083518
"our" 0.161013511405124 0.213148979260167 0.0929119094652961 0.0513906189776618 0.127235592846103 0.100072274420415 0.032265770671035 0.038309589369089 0.173168064163325 0.249273854424069 0.0693559147384621
"two" 0.0667769213966986 0.103761673188234 0.0895637325476278 0.079320303204652 0.109295650253919 0.123422471785178 0.129683578273967 0.198730994852149 0.0820269777615749 0.0953743443013829 0.119556386358682
"though" 0.118575841732455 0.128139415684264 0.102119395988884 0.0840683495232403 0.0883197173769044 0.105631845221549 0.169395296022934 0.131689213456243 0.0577226880544416 0.0520223696189361 0.052842601705495
"may" 0.11483134146722 0.1075120951107 0.0878896440887937 0.11283592427704 0.135239567233385 0.058931450492022 0.130304073863795 0.081407877409314 0.100255195041925 0.038294244302828 0.0369898211938465
"way" 0.0318282522545012 0.0637571726819267 0.0703117152710349 0.102222644270784 0.129719584897328 0.0667148496136098 0.122858126785864 0.129294864120675 0.115445376108883 0.136558720249707 0.110969463581539
"these" 0.123568508752769 0.158767861384406 0.04017812301202 0.096078113740846 0.100187679399426 0.0889531328181464 0.0502601427760352 0.0646474320603376 0.227852716004375 0.161847372147801 0.126822244093188
"first" 0.121072175242612 0.113137727994399 0.0970971306123816 0.0807167874160015 0.0874917200264959 0.144548840829488 0.084387400216553 0.0838022267448821 0.151901810669583 0.148119246831693 0.112290528624177
"nothing" 0.0823790058351796 0.103136602867823 0.0920748652358791 0.0985917853212752 0.10349966880106 0.0711625062545172 0.144885720224743 0.117323117442835 0.0394944707740916 0.0671955607577925 0.0838876302074733
"came" 0.0530470870908353 0.0700078758860372 0.0887266883182107 0.0809960842582714 0.0877677191432987 0.0555957080113415 0.0983485509876739 0.124506165449539 0.322031838619516 0.192193754425514 0.161830467723078
"hand" 0.0561675039785315 0.0631321023615157 0.0770080691063716 0.157244122197954 0.123095606094061 0.103408016901095 0.079733683292846 0.0598587333892015 0.1458257382428 0.0671955607577925 0.0726585773450556
"us" 0.0767622554373264 0.130014626645498 0.151505005524492 0.0485976505549628 0.160355486862442 0.0366931672874854 0.0530523729302594 0.0670417813959057 0.106331267468708 0.177020563286658 0.0561452643120884
"room" 0.070521421661934 0.0706329462064482 0.0870525998593766 0.118701157964708 0.105155663501877 0.100072274420415 0.120686392221467 0.0526756853824973 0.0577226880544416 0.0744208898715337 0.0647321870892313
"miss" 0.013105750928324 0.0100011251265767 0.109652794053638 0.241312471721195 0.158423493044822 0.00333574248068049 0.0601880722132767 0.0167604453489764 0 0.0108379936706117 0.0052842601705495
